Rk,Age,G,GS,MP,FG,FGA,FGP,3P,3PA,3PP,2P,2PA,2PP,EFGP,FT,FTA,FTP,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PPG,labels
301,24,10,0,4.1,0.7,1.4,0.5,0.3,0.5,0.6,0.4,0.9,0.444,0.607,0.1,0.1,1.0,0.0,0.4,0.4,0.3,0.0,0.0,0.5,0.4,1.8,2
319,34,15,15,25.7,3.7,8.5,0.43,0.3,1.0,0.333,3.3,7.5,0.442,0.449,1.7,1.9,0.862,0.3,1.5,1.8,4.4,0.4,0.1,1.7,2.0,9.3,1
322,31,23,23,31.5,5.7,12.4,0.458,2.1,5.3,0.397,3.6,7.2,0.503,0.542,4.2,4.7,0.898,0.8,4.4,5.2,9.0,2.5,0.2,2.3,2.4,17.7,0
324,22,23,16,29.0,4.4,9.9,0.449,0.5,2.1,0.229,4.0,7.8,0.508,0.474,1.3,2.3,0.566,0.7,3.0,3.7,5.3,1.3,0.7,1.9,2.1,10.7,1
344,31,5,0,4.2,0.2,1.4,0.143,0.0,0.4,0.0,0.2,1.0,0.2,0.143,1.0,1.2,0.833,0.2,0.6,0.8,0.4,0.0,0.0,0.0,0.0,1.4,2
347,30,23,22,27.3,3.5,8.9,0.39,1.4,4.0,0.355,2.0,4.9,0.42,0.471,0.3,0.3,0.875,0.4,2.7,3.1,6.7,1.0,0.2,2.7,1.4,8.7,1
348,30,19,19,31.2,3.6,9.1,0.399,0.5,1.6,0.333,3.1,7.5,0.413,0.428,0.7,1.2,0.591,1.1,5.6,6.6,7.1,1.4,0.3,2.7,2.4,8.5,1
349,28,21,21,31.9,6.6,14.7,0.45,0.4,1.5,0.25,6.2,13.2,0.473,0.463,3.0,3.6,0.842,1.3,2.8,4.1,4.8,0.8,0.4,2.6,1.7,16.7,0
351,22,22,0,18.5,2.3,5.6,0.403,0.8,2.4,0.346,1.5,3.3,0.444,0.476,0.9,1.2,0.731,0.5,3.0,3.5,1.9,0.8,0.1,0.6,1.0,6.2,2
352,26,17,17,30.5,1.9,5.5,0.34,0.6,2.4,0.244,1.3,3.1,0.415,0.394,2.1,2.6,0.778,1.1,2.7,3.8,6.5,1.4,0.1,1.9,2.8,6.4,1
355,20,13,13,26.8,5.7,13.8,0.413,2.5,6.6,0.372,3.2,7.2,0.452,0.503,2.2,2.9,0.763,0.5,2.8,3.4,4.8,1.3,0.3,3.1,2.3,16.1,1
359,23,23,23,29.6,6.1,14.0,0.436,1.2,3.7,0.333,4.9,10.3,0.473,0.48,2.3,2.9,0.788,0.5,2.7,3.1,6.1,0.8,0.2,3.0,1.3,15.7,1
364,30,22,0,16.5,1.8,4.8,0.371,0.2,1.1,0.2,1.5,3.6,0.425,0.395,1.9,2.7,0.712,0.2,1.0,1.2,3.1,0.6,0.1,0.9,1.0,5.7,2
