Player,Quincy Acy,LaMarcus Aldridge,Lavoy Allen,Ryan Anderson,Darrell Arthur,Brandon Bass,Dragan Bender,Anthony Bennett,Davis Bertans,Nemanja Bjelica,Joel Bolomboy,Trevor Booker,Marquese Chriss,Rakeem Christmas,Nick Collison,Anthony Davis,Ed Davis,Cheick Diallo,Boris Diaw,Gorgui Dieng,Jared Dudley,Henry Ellenson,Kenneth Faried,Derrick Favors,Dorian Finney-Smith,Taj Gibson,Draymond Green,JaMychal Green,Blake Griffin,Montrezl Harrell,Tobias Harris,Udonis Haslem,Spencer Hawes,Juan Hernangomez,Richaun Holmes,Kris Humphries,Serge Ibaka,Ersan Ilyasova,Ersan Ilyasova,Ersan Ilyasova,Jonas Jerebko,Amir Johnson,James Johnson,Nikola Jokic,Terrence Jones,Ryan Kelly,Skal Labissiere,David Lee,Meyers Leonard,Jon Leuer,Kevon Looney,Kevin Love,Trey Lyles,Thon Maker,Jarell Martin,Luc Mbah a Moute,James Michael McAdoo,Chris McCullough,Josh McRoberts,Jordan Mickey,Paul Millsap,Nikola Mirotic,Markieff Morris,Larry Nance Jr.,Maurice Ndour,Georges Niang,Andrew Nicholson,Steve Novak,Dirk Nowitzki,Kyle O'Quinn,Jabari Parker,Patrick Patterson,Adreian Payne,Bobby Portis,Kristaps Porzingis,Julius Randle,Zach Randolph,Willie Reed,Thomas Robinson,Domantas Sabonis,Dario Saric,Luis Scola,Mike Scott,Kevin Seraphin,Pascal Siakam,Jarnell Stokes,Mirza Teletovic,Lance Thomas,Anthony Tolliver,Noah Vonleh,David West,Alan Williams,Marvin Williams,Kyle Wiltjer,Christian Wood,Thaddeus Young,Cody Zeller
3PP,0.143,0.476,0.0,0.403,0.478,1.0,0.344,0.29,0.417,0.36,0.0,0.238,0.297,,,0.26,,,0.222,0.273,0.413,,0.0,0.5,0.286,0.0,0.329,0.302,0.227,,0.341,0.0,0.286,0.368,0.35,0.333,0.392,0.365,0.25,0.379,0.457,0.375,0.344,0.273,0.2,0.333,,,0.329,0.318,0.333,0.422,0.297,0.5,0.389,0.405,0.0,0.25,0.25,,0.306,0.294,0.318,0.1,0.0,0.1,0.1,0.0,0.273,0.0,0.328,0.352,0.25,0.444,0.379,0.214,0.25,,,0.434,0.393,0.208,0.0,,0.0,,0.385,0.444,0.214,0.316,0.0,,0.344,0.25,0.0,0.409,
2P,0.7,6.0,0.8,1.9,0.9,1.4,0.5,1.1,0.3,1.2,0.3,4.4,2.0,0.3,0.0,10.5,1.6,0.0,1.7,4.0,1.5,0.2,3.2,4.1,0.7,5.3,2.8,2.9,7.3,3.0,5.5,0.3,2.6,0.5,2.5,1.1,4.4,2.9,1.0,3.2,1.1,2.3,2.6,3.6,3.6,0.1,3.0,2.6,1.0,3.2,1.3,4.0,2.4,0.3,1.2,1.5,0.7,1.1,1.4,1.1,5.3,1.5,4.0,3.2,0.8,0.2,1.4,0.0,3.6,2.5,6.4,0.9,1.9,1.4,5.2,5.0,5.5,1.7,0.9,1.7,2.3,1.7,0.3,2.0,2.8,0.5,0.4,1.3,0.4,0.6,1.7,2.0,1.6,0.0,0.0,4.2,3.9
2PA,1.7,12.9,2.5,4.6,2.2,2.8,1.1,1.7,0.6,2.4,0.3,7.4,4.0,1.3,0.4,19.9,3.3,1.0,2.9,7.6,2.8,0.6,6.5,8.7,1.6,9.7,5.6,5.5,15.1,5.0,10.2,1.0,4.8,1.1,4.5,2.6,8.7,5.4,1.3,6.1,2.3,4.0,4.7,6.4,6.7,0.5,5.0,4.6,2.2,5.8,1.9,8.5,4.8,0.7,3.5,2.7,1.5,2.2,4.2,2.2,10.7,3.1,9.2,5.2,1.7,1.3,2.9,0.0,9.0,4.3,12.8,2.4,2.9,2.9,10.2,9.6,11.8,2.7,2.7,3.6,5.9,2.7,1.3,4.1,4.7,0.5,1.1,3.3,0.6,1.6,3.1,3.1,4.5,0.0,0.0,7.5,6.8
2PP,0.4,0.465,0.327,0.402,0.409,0.515,0.474,0.625,0.545,0.509,1.0,0.588,0.489,0.25,0.0,0.525,0.487,0.0,0.568,0.53,0.542,0.333,0.493,0.469,0.452,0.549,0.496,0.519,0.485,0.6,0.537,0.286,0.531,0.45,0.558,0.408,0.507,0.528,0.75,0.521,0.5,0.586,0.548,0.563,0.534,0.25,0.6,0.566,0.438,0.558,0.703,0.465,0.5,0.5,0.338,0.556,0.467,0.5,0.333,0.5,0.498,0.5,0.428,0.624,0.474,0.176,0.488,,0.4,0.596,0.496,0.377,0.65,0.5,0.507,0.527,0.468,0.625,0.35,0.481,0.4,0.625,0.25,0.49,0.587,1.0,0.421,0.4,0.8,0.393,0.528,0.64,0.347,,,0.567,0.581
EFGP,0.324,0.483,0.321,0.517,0.567,0.544,0.5,0.518,0.606,0.527,0.667,0.559,0.476,0.25,0.0,0.511,0.487,0.0,0.479,0.522,0.586,0.333,0.483,0.474,0.438,0.547,0.495,0.503,0.476,0.6,0.53,0.25,0.508,0.5,0.552,0.433,0.529,0.538,0.469,0.542,0.576,0.583,0.536,0.54,0.484,0.357,0.6,0.566,0.471,0.532,0.688,0.537,0.476,0.625,0.383,0.575,0.412,0.479,0.341,0.5,0.489,0.465,0.437,0.584,0.429,0.167,0.425,0.0,0.403,0.577,0.495,0.478,0.571,0.525,0.529,0.514,0.461,0.625,0.35,0.549,0.473,0.521,0.111,0.49,0.575,1.0,0.55,0.483,0.447,0.426,0.521,0.64,0.441,0.375,0.0,0.577,0.581
FT,0.3,3.2,0.2,1.8,0.2,0.5,0.0,0.9,0.2,0.8,0.1,1.4,1.0,0.3,0.0,8.7,0.9,0.0,0.4,1.7,1.0,0.0,2.5,2.0,0.7,1.4,2.0,2.0,5.4,0.4,2.4,0.3,0.7,0.8,0.9,0.9,1.6,1.7,0.0,2.0,0.3,1.0,1.7,1.9,1.9,0.3,2.0,1.2,0.5,1.3,0.5,5.4,0.9,0.5,1.0,1.0,0.1,0.1,0.4,0.2,3.3,1.6,3.0,0.7,0.5,0.2,0.3,0.0,1.4,0.6,3.5,1.0,1.6,0.5,3.1,2.4,1.9,0.6,0.5,0.0,1.2,0.7,0.0,0.2,0.5,0.5,0.4,0.3,0.6,0.5,0.6,0.8,1.1,0.0,0.0,0.8,2.6
FTA,0.5,4.0,0.3,2.0,0.2,0.5,0.2,1.4,0.3,1.1,0.3,1.9,1.5,0.3,0.0,10.5,1.5,0.0,0.5,2.3,1.6,0.0,3.4,3.3,1.0,2.1,3.0,2.5,7.2,0.7,2.6,0.6,0.8,1.4,1.5,1.1,1.9,2.2,0.0,2.5,0.4,1.1,2.1,2.4,2.8,0.3,3.0,1.7,0.5,1.5,0.8,6.3,1.1,0.7,1.4,1.6,0.5,0.1,0.5,0.6,4.4,2.2,3.7,1.0,0.5,0.2,0.6,0.0,1.4,0.9,4.5,1.3,1.9,0.8,4.0,3.5,2.7,1.3,1.2,0.1,1.6,1.2,0.0,0.3,0.7,1.0,0.7,0.3,0.6,0.6,0.9,1.8,1.3,0.0,0.0,1.4,4.1
FTP,0.667,0.81,0.667,0.907,1.0,1.0,0.0,0.65,0.667,0.75,0.5,0.711,0.647,1.0,,0.823,0.6,,0.857,0.725,0.606,,0.73,0.611,0.737,0.66,0.677,0.8,0.748,0.556,0.905,0.5,0.813,0.6,0.621,0.857,0.841,0.8,,0.8,0.778,0.84,0.786,0.792,0.661,1.0,0.667,0.737,1.0,0.861,0.6,0.864,0.846,0.75,0.727,0.595,0.2,1.0,0.714,0.4,0.739,0.735,0.831,0.75,0.833,1.0,0.556,,1.0,0.7,0.787,0.724,0.846,0.6,0.773,0.676,0.696,0.45,0.444,0.5,0.73,0.591,,0.5,0.75,0.5,0.667,0.75,1.0,0.818,0.7,0.429,0.81,,,0.548,0.636
ORB,0.3,1.8,1.3,1.8,0.4,0.5,0.2,1.0,0.3,0.5,0.0,2.3,0.8,0.3,0.0,1.9,2.2,0.5,0.7,2.6,0.7,0.2,3.5,1.4,0.6,2.2,1.8,2.1,2.0,1.5,0.5,0.3,1.1,0.4,1.6,1.0,1.7,1.0,0.7,1.1,0.9,1.5,0.9,2.4,1.0,0.0,3.0,1.5,0.4,1.5,0.9,2.4,0.9,0.3,0.9,0.8,0.1,0.9,1.1,0.9,1.6,0.5,1.3,1.5,0.3,0.2,0.4,0.0,0.4,2.0,1.7,1.1,0.7,1.4,1.9,2.0,2.2,1.5,1.3,0.4,1.0,1.5,0.3,1.5,1.3,0.5,0.3,0.3,0.7,0.4,0.7,2.1,1.0,0.0,0.0,1.7,1.7
DRB,1.0,4.7,1.5,3.6,1.9,0.9,1.4,2.2,0.8,2.8,1.1,6.6,2.1,0.7,0.4,9.6,3.2,0.0,1.8,5.5,3.2,1.0,5.0,5.2,1.4,5.7,6.7,5.6,6.9,1.9,4.5,1.1,3.2,2.2,3.1,1.9,4.9,5.1,4.7,5.2,2.9,2.4,3.8,4.8,4.8,1.1,0.0,3.2,3.1,5.2,1.6,7.9,3.5,1.0,3.2,1.6,1.0,0.7,2.7,1.0,6.5,5.2,4.2,4.2,1.1,0.8,1.0,0.5,6.0,2.8,4.2,4.7,1.3,1.8,5.5,6.8,6.1,1.7,2.1,2.7,5.0,2.5,2.3,2.2,2.4,0.5,2.1,2.0,1.1,2.6,1.9,2.6,5.0,0.8,2.0,4.4,4.1
TRB,1.3,6.5,2.8,5.4,2.3,1.4,1.6,3.2,1.1,3.3,1.1,8.8,3.0,1.0,0.4,11.5,5.4,0.5,2.5,8.1,3.9,1.2,8.5,6.5,2.0,7.9,8.5,7.7,9.0,3.5,5.0,1.4,4.2,2.6,4.7,2.9,6.7,6.2,5.3,6.3,3.7,4.0,4.7,7.2,5.7,1.1,3.0,4.7,3.5,6.7,2.5,10.3,4.4,1.3,4.0,2.4,1.1,1.6,3.8,1.9,8.0,5.7,5.6,5.7,1.4,1.0,1.4,0.5,6.4,4.8,5.9,5.8,2.0,3.2,7.4,8.9,8.3,3.3,3.4,3.1,6.0,4.0,2.7,3.7,3.7,1.0,2.4,2.3,1.8,3.0,2.6,4.8,6.0,0.8,2.0,6.1,5.8
AST,0.0,1.7,1.2,1.1,1.1,0.4,0.4,0.6,0.4,1.1,0.1,2.5,0.5,0.3,1.0,2.2,0.6,0.0,2.2,2.4,2.0,0.2,0.9,0.6,0.9,1.5,7.3,1.2,4.6,0.6,1.8,0.1,1.8,0.4,0.9,0.5,0.9,1.6,0.3,1.8,0.8,1.8,1.9,2.7,1.1,0.5,0.0,1.4,1.0,1.6,0.5,1.6,1.4,0.0,0.1,0.3,0.3,0.1,2.3,0.3,3.5,1.0,1.7,1.2,0.1,0.4,0.2,0.0,1.4,1.1,2.2,1.6,0.4,0.8,1.3,3.3,1.1,0.3,0.3,1.5,1.7,0.9,2.0,0.7,0.4,1.0,0.7,0.3,0.7,0.2,1.6,0.1,1.2,0.0,0.0,1.5,1.2
STL,0.0,0.8,0.3,0.4,0.2,0.1,0.2,0.3,0.1,0.7,0.1,2.0,0.5,0.0,0.0,1.7,0.3,0.0,0.2,1.0,0.9,0.0,1.0,1.0,0.5,0.6,2.3,0.8,1.1,0.2,0.7,0.1,0.5,0.4,0.6,0.2,0.6,0.5,1.0,0.4,0.6,0.5,0.8,0.7,0.8,0.4,0.0,0.4,0.1,0.4,0.2,1.0,0.5,0.0,0.3,1.3,0.1,0.0,0.6,0.1,1.8,0.8,1.2,1.2,0.4,0.1,0.4,0.0,0.6,0.3,1.1,1.0,0.6,0.1,0.6,0.7,0.4,0.1,0.3,0.7,0.5,0.5,0.0,0.3,0.6,0.5,0.1,0.4,0.1,0.2,0.5,0.6,0.4,0.0,0.0,1.1,0.5
BLK,0.0,1.1,0.3,0.1,0.3,0.2,0.4,0.0,0.5,0.3,0.3,0.6,0.5,0.3,0.0,2.8,0.8,0.5,0.0,1.2,0.2,0.0,1.0,1.0,0.3,1.1,1.4,0.7,0.6,0.6,0.7,0.0,0.8,0.3,1.0,0.5,1.9,0.2,0.3,0.2,0.3,0.6,1.0,0.6,1.0,0.3,0.0,0.4,0.3,0.5,0.6,0.5,0.4,0.2,0.3,0.5,0.3,0.2,0.2,0.0,0.9,0.7,0.6,0.4,0.2,0.0,0.3,0.0,0.6,1.2,0.3,0.4,0.6,0.2,1.7,0.5,0.1,0.2,0.1,0.4,0.3,0.2,0.0,0.4,0.6,0.0,0.2,0.1,0.0,0.4,0.5,0.9,0.4,0.0,0.0,0.5,1.2
TOV,0.3,1.5,0.3,1.0,1.2,0.3,0.7,0.4,0.3,1.0,0.1,1.8,1.3,0.0,0.2,2.3,0.9,0.0,1.2,2.0,1.3,0.0,1.2,1.3,0.5,1.7,1.9,1.4,2.1,1.1,1.5,0.0,1.2,0.4,0.9,0.7,1.3,1.2,1.3,1.2,0.6,0.9,1.7,1.5,1.0,0.1,0.0,0.8,0.6,1.0,0.2,2.0,1.2,0.0,0.8,0.8,0.3,0.2,1.2,0.4,2.4,1.2,2.1,0.6,0.2,0.3,0.5,0.0,1.0,0.9,1.5,0.6,0.7,0.5,1.5,2.8,1.2,0.3,0.4,1.1,2.0,1.1,0.7,0.6,0.7,0.0,0.7,0.7,0.4,0.8,1.1,1.0,0.6,0.5,0.0,1.4,0.8
PF,1.5,2.2,1.3,1.9,2.1,0.8,1.2,0.6,1.0,2.0,0.1,2.3,2.9,0.3,0.6,2.0,3.3,0.0,1.7,3.5,2.8,0.0,2.1,2.3,1.6,2.4,2.9,3.8,2.6,1.5,1.8,1.0,1.3,0.9,2.3,1.0,2.4,2.3,1.7,2.4,1.6,2.6,2.4,3.1,1.4,0.3,0.0,1.6,2.4,2.0,1.4,2.0,1.7,0.5,2.2,1.3,0.3,0.4,1.5,0.9,2.7,1.4,3.0,2.1,1.0,0.4,1.5,0.0,1.8,2.1,1.6,2.5,2.1,1.6,3.8,3.2,2.1,1.4,1.3,2.9,2.0,1.8,0.3,1.1,2.3,1.5,1.6,1.4,1.0,1.4,1.6,2.0,1.6,0.5,0.0,1.6,3.3
PPG,2.2,16.7,1.8,12.9,5.3,3.6,3.0,5.0,3.4,7.0,0.7,10.8,6.4,1.0,0.0,31.4,4.0,0.0,4.9,10.2,8.4,0.4,8.9,10.5,4.2,12.0,10.8,9.4,20.7,6.4,16.9,0.9,7.0,3.0,7.1,4.0,14.3,13.0,5.0,14.2,4.8,6.4,9.9,10.0,10.1,0.9,8.0,6.4,5.6,10.3,3.2,21.4,9.1,2.2,4.3,6.0,1.5,2.7,3.8,2.4,16.7,8.8,13.0,7.3,2.1,0.8,3.3,0.0,12.2,5.7,19.2,7.8,6.1,4.1,19.9,12.9,13.6,3.9,2.4,6.6,10.2,4.9,0.7,4.2,6.1,1.5,7.2,4.9,2.4,2.7,3.9,4.8,10.0,0.8,0.0,11.7,10.5
