Player,Al-Farouq Aminu,Alan Anderson,Justin Anderson,Carmelo Anthony,Trevor Ariza,Luke Babbitt,Harrison Barnes,Matt Barnes,Kent Bazemore,Michael Beasley,DeAndre' Bembry,Bojan Bogdanovic,Corey Brewer,Anthony Brown,Jaylen Brown,Nicolas Brussino,Reggie Bullock,Jimmy Butler,Bruno Caboclo,DeMarre Carroll,Omri Casspi,Wilson Chandler,Robert Covington,Jae Crowder,Dante Cunningham,Sam Dekker,Luol Deng,Mike Dunleavy,Kevin Durant,James Ennis,Danilo Gallinari,Rudy Gay,Alonzo Gee,Paul George,Aaron Gordon,Jerami Grant,Jerami Grant,Jerami Grant,Jeff Green,Maurice Harkless,Gordon Hayward,Mario Hezonja,Solomon Hill,Rondae Hollis-Jefferson,Andre Iguodala,Joe Ingles,Brandon Ingram,LeBron James,Richard Jefferson,Joe Johnson,Stanley Johnson,Wesley Johnson,Derrick Jones,James Jones,Michael Kidd-Gilchrist,Mindaugas Kuzminskas,Jake Layman,Kawhi Leonard,Timothe Luwawu-Cabarrot,K.J. McDaniels,Doug McDermott,C.J. Miles,Mike Miller,Marcus Morris,Shabazz Muhammad,Kelly Oubre,Chandler Parsons,Paul Pierce,Otto Porter,Andre Roberson,Glenn Robinson,Terrence Ross,Damjan Rudez,Thabo Sefolosha,Kyle Singler,Tony Snell,P.J. Tucker,Taurean Waller-Prince,T.J. Warren,Andrew Wiggins,Derrick Williams,Troy Williams,Justise Winslow,Metta World Peace,Paul Zipser
3PP,0.205,0.333,0.268,0.344,0.382,0.328,0.303,0.294,0.292,0.462,0.0,0.333,0.194,0.25,0.333,0.313,0.286,0.351,0.5,0.368,0.278,0.367,0.301,0.397,0.41,0.388,0.283,0.286,0.407,0.341,0.354,0.366,0.0,0.363,0.292,0.355,0.0,0.379,0.29,0.371,0.349,0.172,0.296,0.25,0.296,0.466,0.296,0.349,0.372,0.416,0.304,0.281,,0.786,0.0,0.368,0.308,0.387,0.182,0.333,0.346,0.44,0.75,0.352,0.227,0.316,0.238,0.357,0.408,0.316,0.351,0.44,0.313,0.281,0.125,0.29,0.261,0.292,0.308,0.376,0.167,0.219,0.222,0.182,0.0
2P,1.1,0.0,2.0,6.2,1.8,0.5,7.2,1.4,2.8,3.3,0.5,3.5,1.4,0.9,1.5,0.3,1.3,6.5,0.0,1.8,1.9,5.3,0.9,2.9,1.1,1.9,1.8,0.6,7.3,2.0,2.9,5.7,0.3,5.0,3.0,1.8,3.0,1.7,2.1,3.8,5.7,1.2,0.9,1.6,1.7,1.0,2.2,7.2,0.9,2.1,0.9,0.5,0.0,0.1,3.4,0.8,0.5,6.3,0.6,1.1,3.0,2.2,0.0,4.1,2.2,1.3,2.2,0.3,4.3,2.1,1.8,2.1,0.1,2.7,0.6,1.6,1.4,0.9,6.5,6.4,1.9,1.8,4.0,0.3,0.0
2PA,3.2,0.7,4.5,12.9,3.0,1.3,15.0,3.1,7.0,6.2,1.4,6.4,2.3,1.9,3.2,0.5,2.3,13.2,0.3,3.3,3.8,10.7,2.6,4.7,3.0,3.2,4.9,1.3,12.1,3.9,6.9,11.5,0.8,10.4,6.7,3.5,7.5,3.1,5.0,6.7,11.8,3.1,2.3,4.7,2.7,1.8,5.5,12.9,1.7,4.5,2.0,1.3,0.0,0.4,7.5,2.0,0.8,12.8,1.4,2.1,5.2,4.2,0.0,8.5,4.4,2.6,4.2,0.8,7.1,3.7,3.7,3.8,0.3,4.8,1.2,2.4,3.0,1.9,13.6,14.0,3.8,3.3,10.9,0.9,0.7
2PP,0.343,0.0,0.442,0.479,0.591,0.36,0.484,0.446,0.396,0.528,0.364,0.548,0.588,0.471,0.486,0.5,0.556,0.495,0.0,0.55,0.511,0.493,0.333,0.606,0.378,0.586,0.364,0.45,0.604,0.519,0.42,0.498,0.333,0.481,0.452,0.521,0.4,0.552,0.431,0.569,0.483,0.395,0.389,0.345,0.603,0.535,0.394,0.553,0.529,0.463,0.45,0.409,,0.25,0.459,0.421,0.636,0.493,0.391,0.552,0.577,0.522,,0.483,0.488,0.49,0.52,0.4,0.6,0.58,0.473,0.55,0.333,0.558,0.5,0.689,0.448,0.483,0.48,0.453,0.5,0.533,0.367,0.333,0.0
EFGP,0.323,0.375,0.427,0.49,0.578,0.452,0.479,0.443,0.412,0.544,0.286,0.527,0.466,0.415,0.49,0.479,0.5,0.501,0.5,0.551,0.484,0.511,0.417,0.601,0.488,0.584,0.385,0.435,0.606,0.516,0.466,0.51,0.25,0.504,0.448,0.524,0.353,0.557,0.433,0.564,0.495,0.34,0.417,0.352,0.53,0.629,0.409,0.546,0.545,0.53,0.452,0.417,,0.972,0.45,0.487,0.514,0.517,0.353,0.53,0.558,0.595,1.125,0.498,0.458,0.483,0.446,0.5,0.604,0.536,0.491,0.607,0.447,0.524,0.321,0.51,0.425,0.462,0.478,0.477,0.406,0.462,0.36,0.3,0.0
FT,0.9,0.0,1.9,3.9,0.9,0.3,3.0,0.9,1.6,1.2,0.1,3.1,0.6,0.0,0.9,0.4,0.0,8.6,0.0,1.1,0.4,2.2,1.2,1.4,0.1,0.4,0.9,0.5,5.9,2.1,5.3,4.1,0.5,4.1,1.0,1.1,2.0,1.1,1.9,1.1,6.6,0.4,1.4,2.2,0.4,0.7,1.8,5.1,0.5,1.0,0.6,0.3,0.0,0.2,2.6,0.5,0.5,6.2,0.8,0.4,1.6,1.4,0.0,1.2,1.6,0.9,0.8,1.0,1.1,0.4,0.9,1.0,0.0,0.7,0.3,0.7,1.4,0.7,2.8,5.3,1.0,0.7,1.6,0.4,0.0
FTA,1.9,0.0,2.4,4.5,1.1,0.4,3.5,1.2,2.0,1.8,0.3,3.6,0.9,0.0,1.5,0.4,0.0,9.7,0.0,1.6,0.6,3.0,1.6,1.5,0.3,0.6,1.3,0.6,6.8,2.6,6.1,4.8,0.8,4.5,1.9,2.3,4.0,2.2,2.2,1.4,7.5,0.6,1.8,2.8,0.7,1.0,2.4,7.1,0.7,1.2,0.9,0.3,0.0,0.2,3.6,0.6,0.5,6.8,1.1,0.4,1.8,1.6,0.0,1.4,2.1,1.2,1.0,1.0,1.4,1.3,1.2,1.1,0.0,1.1,0.4,0.9,1.9,0.8,3.4,6.9,1.8,1.3,2.1,0.6,0.0
FTP,0.476,,0.765,0.867,0.792,0.714,0.877,0.76,0.795,0.686,0.5,0.855,0.7,,0.594,0.857,,0.887,,0.714,0.714,0.758,0.742,0.905,0.4,0.643,0.71,0.8,0.86,0.806,0.861,0.844,0.556,0.925,0.545,0.49,0.5,0.488,0.837,0.781,0.882,0.667,0.805,0.765,0.529,0.739,0.754,0.716,0.714,0.793,0.647,1.0,,1.0,0.724,0.833,0.857,0.911,0.667,0.833,0.889,0.92,,0.824,0.795,0.739,0.833,1.0,0.793,0.286,0.75,0.957,,0.636,0.75,0.778,0.756,0.917,0.818,0.763,0.542,0.565,0.737,0.667,
ORB,0.9,0.7,1.2,1.0,0.8,0.3,1.5,1.0,0.6,0.7,0.3,0.5,0.4,0.7,0.7,0.3,0.8,1.7,0.3,0.6,0.8,1.7,1.1,0.4,0.9,1.3,1.2,0.1,0.7,1.6,0.6,1.0,0.3,1.1,1.0,0.3,0.0,0.3,0.6,2.0,0.6,0.2,0.4,0.5,0.5,0.1,0.5,1.2,0.3,0.4,0.4,0.6,0.0,0.1,1.8,0.6,0.1,1.2,0.1,0.2,0.2,0.4,0.0,0.8,0.9,0.7,0.3,0.0,2.0,1.0,0.6,0.3,0.3,1.0,0.1,0.6,1.6,0.3,2.0,1.2,0.6,0.2,1.2,0.3,0.2
DRB,5.5,0.3,2.7,5.0,4.2,1.6,4.2,3.9,2.6,2.9,0.4,2.8,1.7,2.2,1.3,0.9,0.5,5.0,1.0,2.8,2.8,5.9,4.1,4.6,3.1,2.6,3.8,1.6,7.8,3.6,3.9,5.4,0.8,6.3,3.4,2.5,3.5,2.4,2.7,3.4,5.8,1.3,3.4,4.1,2.9,2.0,3.3,6.5,2.2,2.9,1.8,2.4,0.0,0.2,5.3,0.9,0.8,4.8,0.9,1.2,2.6,2.5,1.0,3.3,1.4,2.3,2.7,1.3,5.8,3.5,2.3,1.6,0.7,3.6,1.4,3.4,3.9,2.1,2.3,2.9,1.9,1.6,3.4,0.4,1.0
TRB,6.5,1.0,3.9,6.0,5.0,1.8,5.7,4.9,3.2,3.6,0.6,3.3,2.1,2.9,2.0,1.1,1.3,6.7,1.3,3.4,3.7,7.6,5.2,5.1,3.9,3.9,5.0,1.6,8.5,5.3,4.5,6.4,1.1,7.4,4.4,2.8,3.5,2.7,3.3,5.4,6.4,1.5,3.9,4.6,3.3,2.0,3.8,7.6,2.5,3.3,2.2,3.0,0.0,0.3,7.1,1.5,0.8,6.0,0.9,1.4,2.8,2.9,1.0,4.2,2.3,3.0,3.0,1.3,7.7,4.5,2.9,1.9,0.9,4.6,1.5,3.9,5.5,2.4,4.3,4.0,2.5,1.8,4.7,0.7,1.2
AST,1.7,0.7,0.9,2.5,2.0,0.5,1.2,2.8,2.6,0.8,0.3,1.5,1.0,0.7,0.7,1.0,0.3,4.1,1.0,1.1,1.3,1.7,1.1,2.4,0.5,1.2,1.3,0.9,4.8,1.4,2.1,3.2,0.5,3.4,1.7,0.4,0.0,0.5,1.5,1.0,3.9,0.6,2.0,2.7,3.5,1.7,1.8,9.1,0.8,2.0,0.8,0.4,0.0,0.2,1.3,0.9,0.5,3.0,0.3,0.1,1.5,0.7,1.0,2.0,0.4,0.7,0.8,0.3,1.5,1.1,0.7,0.7,0.2,1.9,0.1,1.0,1.0,0.8,1.0,2.4,0.3,0.8,4.0,0.4,0.5
STL,1.4,0.0,0.8,1.0,2.0,0.4,0.8,0.8,1.6,0.5,0.1,0.4,0.6,0.6,0.4,0.4,0.3,1.6,0.7,1.1,0.4,0.8,1.9,1.0,0.6,0.6,1.0,0.3,1.4,0.9,0.7,1.6,0.5,1.9,0.8,0.6,0.0,0.6,0.4,1.0,1.1,0.3,1.0,0.9,0.9,0.8,0.6,1.1,0.4,0.5,0.4,0.3,0.0,0.2,0.8,0.4,0.4,2.0,0.3,0.4,0.3,0.8,0.0,0.8,0.2,0.6,0.3,0.2,2.0,1.2,0.5,1.0,0.4,2.1,0.1,0.4,1.0,0.3,1.9,0.5,0.3,1.2,1.6,0.3,0.2
BLK,0.7,0.0,0.5,0.4,0.3,0.1,0.2,0.4,0.6,0.2,0.0,0.0,0.1,0.2,0.3,0.2,0.5,0.4,0.0,0.5,0.1,0.2,0.7,0.4,0.7,0.3,0.2,0.1,1.7,0.1,0.4,0.7,0.1,0.4,0.7,1.0,2.0,0.9,0.3,0.7,0.2,0.1,0.5,0.6,0.3,0.1,0.6,0.5,0.2,0.1,0.4,0.6,0.0,0.2,1.0,0.1,0.1,0.5,0.2,0.6,0.1,0.6,0.0,0.4,0.1,0.1,0.3,0.3,0.5,1.1,0.3,0.3,0.0,0.3,0.2,0.1,0.2,0.3,0.3,0.4,0.3,0.3,0.3,0.2,0.0
TOV,1.5,0.3,1.2,1.9,0.9,0.4,1.5,1.8,1.9,1.2,0.5,1.5,0.6,0.6,0.7,0.3,0.3,2.1,0.7,0.4,0.9,1.6,1.7,1.2,0.7,0.7,0.8,0.4,2.1,1.1,1.6,2.5,0.2,3.0,1.0,0.7,1.5,0.6,1.1,1.3,1.9,0.9,1.1,1.4,0.6,0.7,1.6,4.0,0.5,0.9,0.6,0.4,0.0,0.3,0.8,0.5,0.3,1.8,0.3,0.4,0.9,0.6,0.3,1.0,0.6,0.6,1.3,0.5,0.9,0.6,0.5,0.5,0.4,1.0,0.5,0.7,0.9,0.8,1.0,2.6,0.5,1.1,1.6,0.1,0.2
PF,1.4,1.7,1.7,2.9,1.7,1.2,1.8,2.6,2.3,1.6,0.0,1.7,1.9,1.4,1.6,0.6,0.0,1.7,0.7,2.1,0.9,2.1,2.5,2.5,1.8,1.4,1.3,1.1,2.2,3.1,1.4,2.6,1.1,2.7,1.9,2.0,2.5,2.0,1.4,2.8,1.6,0.7,2.4,2.6,1.3,1.7,1.7,1.7,1.4,1.2,1.3,1.8,0.0,0.5,2.3,0.9,0.9,1.6,0.9,1.0,1.3,1.8,0.3,2.0,0.9,1.9,0.8,2.8,3.0,2.7,1.2,1.5,0.6,1.3,1.2,1.7,2.1,1.3,2.8,2.2,1.2,1.7,3.2,1.0,0.5
PPG,5.5,2.0,8.0,22.4,12.6,4.2,20.4,7.2,10.7,8.6,1.1,15.0,4.3,3.8,5.3,1.8,4.0,25.4,1.0,10.1,5.5,18.0,8.4,13.3,5.6,6.7,6.6,3.9,26.2,9.1,16.2,19.4,1.0,20.7,9.6,6.3,8.0,6.2,8.9,13.0,23.1,3.9,5.3,6.4,5.8,6.0,8.1,23.9,4.7,9.1,3.4,2.9,0.0,3.4,9.5,4.4,3.4,24.4,2.3,4.1,10.3,12.0,2.3,14.0,6.7,5.2,7.7,4.2,14.1,7.1,6.4,10.5,1.4,7.4,2.1,8.9,5.8,4.0,17.7,22.4,6.0,5.4,11.6,1.6,0.0
