Player,Alex Abrines,Arron Afflalo,Tony Allen,Kyle Anderson,Giannis Antetokounmpo,Ron Baker,Leandro Barbosa,Will Barton,Nicolas Batum,Bradley Beal,Malik Beasley,Marco Belinelli,Patrick Beverley,Devin Booker,Avery Bradley,Malcolm Brogdon,Kentavious Caldwell-Pope,Isaiah Canaan,Vince Carter,Ian Clark,Jordan Clarkson,Pat Connaughton,Allen Crabbe,Jamal Crawford,Troy Daniels,DeMar DeRozan,Wayne Ellington,Monta Ellis,Bryn Forbes,Evan Fournier,Randy Foye,Michael Gbinije,Manu Ginobili,Archie Goodwin,Eric Gordon,Treveon Graham,Danny Green,Gerald Green,Tim Hardaway,Gary Harris,Joe Harris,Aaron Harrison,Andrew Harrison,Gerald Henderson,Buddy Hield,Darrun Hilliard,Justin Holiday,Rodney Hood,Danuel House,R.J. Hunter,John Jenkins,Tyler Johnson,Cory Joseph,Sean Kilpatrick,Brandon Knight,Kyle Korver,Jeremy Lamb,Zach LaVine,Courtney Lee,Caris LeVert,DeAndre Liggins,Wesley Matthews,Patrick McCaw,Sheldon McClellan,C.J. McCollum,Rodney McGruder,Ben McLemore,Jordan McRae,Jodie Meeks,E'Twaun Moore,Anthony Morrow,Jamal Murray,Victor Oladipo,Norman Powell,Tim Quarterman,J.J. Redick,Josh Richardson,Malachi Richardson,Austin Rivers,Brandon Rush,Tomas Satoransky,Iman Shumpert,Jonathon Simmons,J.R. Smith,Nik Stauskas,Lance Stephenson,Garrett Temple,Jason Terry,Hollis Thompson,Klay Thompson,Marcus Thornton,Evan Turner,Denzel Valentine,Rashad Vaughn,Sasha Vujacic,Dwyane Wade,Dion Waiters,C.J. Wilcox,Lou Williams,James Young,Nick Young
3PP,0.273,0.325,0.167,0.455,0.239,0.273,0.391,0.333,0.313,0.424,0.308,0.437,0.382,0.333,0.407,0.419,0.375,0.276,0.279,0.408,0.311,0.5,0.391,0.337,0.362,0.282,0.383,0.319,0.167,0.368,0.327,0.0,0.355,0.5,0.417,0.75,0.409,0.269,0.308,0.308,0.366,0.0,0.246,0.383,0.277,0.333,0.375,0.369,,0.0,0.0,0.385,0.367,0.347,0.324,0.398,0.269,0.375,0.452,0.0,1.0,0.383,0.382,0.2,0.46,0.339,0.303,0.385,0.5,0.333,0.349,0.386,0.386,0.438,1.0,0.454,0.362,0.333,0.339,0.231,0.118,0.449,0.2,0.327,0.39,0.1,0.407,0.29,0.379,0.387,0.333,0.268,0.273,0.353,0.278,0.354,0.344,0.25,0.397,0.286,0.414
2P,0.7,2.3,3.7,0.7,7.5,0.5,2.0,3.9,2.7,4.6,0.6,2.0,1.7,5.4,5.1,1.9,3.3,1.5,1.9,1.6,4.6,0.4,1.8,3.0,1.5,9.5,2.8,3.2,0.3,3.8,0.7,0.2,1.3,0.3,2.5,0.2,0.7,0.7,2.8,3.4,1.9,0.0,1.2,2.9,1.7,1.0,1.3,3.5,0.0,0.0,0.3,3.3,2.9,3.8,3.4,1.4,2.7,5.0,2.5,0.0,0.6,1.8,0.7,1.4,5.5,1.4,1.9,1.0,1.5,3.7,1.4,1.7,4.5,1.2,0.7,2.7,2.2,0.0,2.1,0.2,1.4,1.1,1.8,0.3,1.7,4.2,1.0,0.3,1.4,5.3,1.9,3.1,0.3,0.8,0.4,6.1,4.2,0.0,4.0,0.4,1.9
2PA,1.3,4.9,7.6,1.6,13.1,1.5,4.0,8.5,6.0,10.0,1.8,4.5,3.6,11.8,10.2,4.7,7.3,2.7,3.5,2.8,9.8,0.6,4.0,6.5,3.8,19.1,4.5,6.7,0.7,8.2,1.9,0.7,3.5,1.0,5.3,0.4,1.3,2.1,4.6,6.6,3.1,0.5,3.8,6.0,3.8,2.4,3.0,7.5,0.0,0.0,1.0,7.6,5.9,7.9,8.7,2.8,5.1,9.2,5.6,2.0,1.3,5.0,1.3,2.4,11.5,3.0,3.9,3.7,3.5,7.4,2.6,4.5,8.7,2.3,0.7,5.4,5.2,0.5,4.7,1.0,2.9,2.0,3.8,1.4,3.0,7.5,2.2,1.0,3.1,9.6,4.6,6.8,0.9,1.8,0.9,13.0,10.5,0.1,8.0,0.6,3.7
2PP,0.524,0.459,0.488,0.419,0.569,0.333,0.494,0.457,0.448,0.461,0.313,0.449,0.475,0.462,0.504,0.398,0.446,0.542,0.54,0.571,0.474,0.8,0.458,0.453,0.388,0.494,0.63,0.48,0.429,0.463,0.379,0.25,0.364,0.333,0.474,0.5,0.55,0.32,0.613,0.515,0.591,0.0,0.322,0.481,0.448,0.424,0.418,0.471,,,0.333,0.431,0.488,0.485,0.391,0.517,0.536,0.541,0.441,0.0,0.438,0.364,0.5,0.588,0.482,0.469,0.492,0.268,0.429,0.5,0.548,0.385,0.51,0.512,1.0,0.5,0.426,0.0,0.454,0.222,0.491,0.526,0.466,0.227,0.559,0.556,0.478,0.333,0.451,0.55,0.407,0.454,0.286,0.45,0.417,0.467,0.399,0.0,0.495,0.571,0.522
EFGP,0.446,0.467,0.468,0.488,0.537,0.375,0.514,0.471,0.458,0.533,0.379,0.546,0.52,0.473,0.54,0.471,0.495,0.47,0.47,0.59,0.472,0.786,0.521,0.473,0.479,0.488,0.595,0.479,0.346,0.497,0.449,0.125,0.445,0.5,0.566,0.917,0.599,0.363,0.538,0.5,0.566,0.0,0.343,0.506,0.431,0.451,0.484,0.507,,0.0,0.25,0.473,0.5,0.498,0.417,0.566,0.494,0.55,0.526,0.0,0.605,0.494,0.543,0.481,0.552,0.488,0.479,0.343,0.589,0.5,0.535,0.48,0.538,0.575,1.143,0.591,0.485,0.375,0.473,0.295,0.414,0.609,0.429,0.447,0.574,0.482,0.55,0.402,0.504,0.564,0.443,0.444,0.372,0.5,0.417,0.48,0.43,0.333,0.534,0.5,0.584
FT,0.6,1.7,1.4,0.5,5.5,0.3,0.3,2.6,3.0,3.6,0.4,1.5,0.5,3.3,1.3,1.2,2.0,1.0,1.5,0.6,1.8,0.2,1.5,2.3,1.0,7.6,0.8,1.6,0.1,3.6,0.6,0.3,1.5,3.3,1.8,0.0,0.5,0.5,1.3,1.6,0.9,0.3,2.2,1.3,0.5,0.8,0.7,2.2,0.0,0.0,0.7,2.9,1.3,4.0,3.0,0.7,1.8,2.8,0.7,0.0,0.7,2.3,0.2,0.9,3.0,0.8,0.8,0.4,2.8,0.8,0.5,1.4,1.4,1.2,0.0,2.2,0.7,0.0,1.1,0.1,0.6,1.1,1.3,0.4,1.4,0.8,0.6,0.3,0.5,2.4,1.0,1.7,0.1,0.0,0.2,4.3,1.9,0.2,4.8,0.0,1.8
FTA,0.7,1.8,2.0,0.6,7.1,0.7,0.3,3.8,3.8,4.6,0.7,1.8,0.7,4.1,1.7,1.3,2.5,1.1,1.9,0.8,2.2,0.3,1.7,2.6,1.2,9.0,1.2,2.0,0.1,4.2,0.7,0.3,1.7,3.3,2.2,0.0,0.7,0.7,2.0,2.4,1.2,0.5,3.0,1.6,0.5,1.1,0.8,2.8,0.0,0.0,0.7,3.8,1.7,4.9,3.5,0.8,2.3,3.1,0.7,0.0,0.9,2.6,0.3,1.0,3.4,1.2,1.0,0.5,2.8,1.1,0.6,1.7,2.3,1.5,0.0,2.4,1.0,0.0,1.7,0.2,0.9,1.2,1.8,0.4,1.9,1.3,0.8,0.3,0.8,2.7,1.1,1.9,0.1,0.0,0.3,5.2,2.9,0.2,5.5,0.0,1.9
FTP,0.909,0.917,0.676,0.833,0.773,0.5,0.857,0.69,0.788,0.78,0.667,0.872,0.625,0.793,0.763,0.92,0.814,0.88,0.771,0.733,0.83,0.667,0.854,0.881,0.813,0.839,0.714,0.837,1.0,0.845,0.818,1.0,0.875,1.0,0.796,,0.8,0.75,0.63,0.667,0.692,0.5,0.739,0.778,0.917,0.733,0.882,0.793,,,1.0,0.759,0.784,0.833,0.855,0.875,0.8,0.892,0.929,,0.727,0.865,0.5,0.857,0.901,0.68,0.813,0.8,1.0,0.762,0.8,0.842,0.62,0.778,,0.906,0.692,,0.65,0.5,0.647,0.87,0.738,1.0,0.727,0.625,0.813,0.8,0.667,0.887,0.905,0.889,0.5,,0.75,0.827,0.652,1.0,0.864,,0.941
ORB,0.1,0.3,2.2,0.5,1.6,0.2,0.2,1.4,0.7,0.8,0.0,0.1,1.5,0.5,1.3,0.4,1.0,0.2,0.6,0.2,0.7,0.0,0.3,0.2,0.2,1.0,0.0,0.1,0.0,0.5,0.1,0.2,0.4,0.0,0.4,0.0,0.2,0.3,0.2,0.6,0.3,0.0,0.4,0.5,0.3,0.1,0.5,0.3,0.0,0.0,0.0,0.7,0.5,0.4,0.7,0.0,0.7,0.5,0.5,1.0,0.5,0.3,0.3,0.3,0.8,1.5,0.2,0.3,0.3,0.5,0.2,0.6,0.5,0.2,0.3,0.1,0.6,0.0,0.2,0.0,0.4,0.6,0.3,0.4,0.3,0.5,0.4,0.1,0.6,0.6,0.9,0.6,0.1,0.0,0.1,1.4,0.4,0.1,0.3,0.2,0.4
DRB,0.8,2.3,3.1,2.4,7.3,0.3,1.2,3.8,7.0,2.3,0.4,2.7,3.3,2.1,6.5,1.9,2.6,1.5,3.3,1.2,2.1,0.7,2.6,1.4,1.0,4.4,1.8,3.4,0.4,2.5,2.5,0.2,2.2,0.0,2.5,1.2,2.7,1.4,1.5,2.6,2.5,0.5,2.0,2.3,2.0,0.8,2.7,4.0,1.0,0.3,0.3,4.0,2.0,4.3,2.2,2.3,4.5,2.6,2.5,3.0,1.2,2.9,0.8,0.4,2.8,1.9,1.1,1.0,0.8,1.9,0.5,2.3,3.9,1.7,0.1,1.8,2.5,0.0,1.6,1.0,1.3,1.9,1.9,1.8,2.4,2.5,2.1,1.1,2.3,3.0,1.7,3.6,1.4,1.1,1.5,2.9,3.0,0.2,2.1,0.8,2.0
TRB,0.9,2.5,5.3,2.8,8.9,0.5,1.4,5.2,7.7,3.1,0.4,2.9,4.7,2.6,7.8,2.3,3.6,1.7,3.9,1.4,2.8,0.7,3.0,1.6,1.2,5.4,1.8,3.5,0.4,3.0,2.5,0.3,2.6,0.0,2.9,1.2,2.9,1.8,1.7,3.2,2.8,0.5,2.5,2.8,2.3,0.9,3.2,4.2,1.0,0.3,0.3,4.7,2.5,4.8,2.9,2.4,5.3,3.0,3.0,4.0,1.7,3.2,1.1,0.7,3.6,3.4,1.3,1.3,1.0,2.3,0.7,2.9,4.5,1.9,0.4,1.9,3.1,0.0,1.8,1.0,1.8,2.5,2.2,2.1,2.7,3.0,2.5,1.1,2.8,3.6,2.6,4.2,1.5,1.1,1.6,4.3,3.4,0.3,2.3,1.0,2.4
AST,0.4,1.2,0.9,0.9,6.1,0.5,1.1,2.5,5.5,3.1,0.3,1.8,4.6,2.7,2.5,2.8,3.0,1.0,1.8,1.1,2.1,0.4,1.2,2.1,1.0,4.4,2.0,3.7,0.1,3.3,2.1,0.2,2.5,0.3,2.5,0.4,2.1,1.3,1.5,2.4,1.3,0.5,3.7,1.4,1.0,0.9,1.0,2.1,0.0,0.0,0.3,3.1,2.4,2.7,2.9,2.0,1.0,2.8,2.0,0.0,0.8,2.2,1.2,0.4,3.7,1.2,0.6,0.6,0.8,3.0,0.6,2.0,3.0,1.1,0.4,1.0,1.8,0.0,2.0,0.7,2.4,1.8,1.9,1.3,1.9,4.8,1.8,1.1,0.9,2.1,1.3,3.0,0.4,0.2,0.9,3.4,3.9,0.6,3.4,0.3,1.1
STL,0.3,0.4,1.8,0.6,2.2,0.5,0.4,0.9,1.0,0.9,0.2,0.8,1.5,0.9,1.0,0.9,1.2,0.8,0.8,0.5,1.6,0.0,0.5,0.7,0.3,1.3,1.0,1.2,0.1,1.1,0.3,0.0,1.3,0.0,0.7,0.0,0.7,0.3,0.4,0.4,0.8,0.0,1.3,0.8,0.3,0.4,0.8,0.8,0.0,0.0,0.0,1.2,0.8,0.8,0.6,0.9,0.3,0.9,1.0,3.0,0.4,1.2,0.4,0.6,1.1,0.8,0.3,0.3,1.0,0.8,0.3,0.4,1.0,0.4,0.0,0.8,0.8,0.0,0.6,0.2,0.6,1.0,0.9,1.5,0.4,0.3,0.9,0.4,0.6,0.7,0.8,0.7,0.3,0.5,0.3,1.6,0.9,0.0,1.3,0.3,0.3
BLK,0.1,0.1,0.5,0.3,2.3,0.2,0.0,0.5,0.4,0.4,0.0,0.2,0.6,0.3,0.3,0.1,0.1,0.0,0.4,0.2,0.1,0.1,0.3,0.0,0.2,0.0,0.0,0.5,0.0,0.0,0.2,0.0,0.3,0.3,0.5,0.0,0.7,0.1,0.2,0.2,0.1,0.0,0.5,0.2,0.1,0.1,0.4,0.2,0.0,0.0,0.0,0.5,0.1,0.1,0.0,0.3,0.5,0.2,0.3,0.0,0.1,0.2,0.3,0.0,0.5,0.3,0.1,0.1,0.0,0.4,0.1,0.3,0.3,0.1,0.3,0.1,0.5,0.0,0.2,0.2,0.0,0.3,0.4,0.5,0.5,0.2,0.5,0.3,0.2,0.3,0.1,0.3,0.1,0.4,0.0,0.7,0.6,0.0,0.1,0.0,0.4
TOV,0.8,0.2,1.4,0.4,3.4,0.3,0.2,2.1,2.3,1.8,0.0,0.8,1.5,2.5,1.6,1.1,1.1,0.7,0.8,0.5,2.0,0.0,0.8,1.1,0.5,2.6,0.3,2.5,0.0,2.4,1.5,0.0,1.5,0.0,1.9,0.2,0.9,0.6,0.8,1.2,1.4,0.0,1.7,0.9,0.7,0.8,0.7,1.2,0.0,0.0,0.0,1.1,1.0,2.6,2.1,1.6,1.1,1.7,1.0,0.0,0.7,1.8,0.6,0.1,2.1,0.9,0.8,0.3,0.3,1.3,0.3,1.6,1.7,0.5,0.0,1.7,1.2,0.0,0.9,0.4,0.9,1.4,0.9,0.8,1.6,1.8,0.8,0.4,0.3,2.0,0.8,1.2,0.3,0.3,0.4,2.3,2.2,0.3,2.3,0.1,0.7
PF,0.9,1.6,2.7,0.7,3.8,0.2,1.0,2.1,1.6,2.2,0.4,1.3,3.0,3.0,2.5,1.5,1.8,1.4,2.6,0.9,1.8,0.0,2.1,1.3,1.2,1.9,0.8,2.4,0.6,2.7,1.3,0.3,1.6,0.3,2.0,2.2,1.7,1.0,1.0,2.0,2.6,0.5,3.4,2.2,1.2,1.5,1.5,2.4,0.0,0.0,0.0,2.0,1.7,1.8,1.6,1.7,1.0,2.1,2.0,0.0,1.3,2.3,1.2,0.7,2.9,2.0,1.1,0.9,1.5,2.0,0.7,1.8,1.9,1.7,0.1,1.5,2.6,0.5,2.0,0.4,1.7,2.3,1.7,2.5,1.6,3.0,1.6,1.1,2.0,2.1,1.4,1.7,1.2,0.7,0.8,2.2,2.6,0.1,1.0,0.2,2.7
PPG,4.3,8.1,9.1,2.6,22.0,2.8,5.5,14.3,13.5,21.6,2.9,10.7,7.5,19.0,17.9,7.6,14.5,6.8,9.3,6.8,14.6,1.4,9.6,12.3,9.7,28.0,15.5,10.1,1.0,16.7,5.3,0.7,7.5,5.0,17.0,2.2,7.4,3.6,11.1,10.8,9.9,0.3,6.9,9.5,7.3,4.1,6.1,15.7,0.0,0.0,1.3,13.0,8.5,16.7,13.0,8.8,9.2,20.5,9.8,0.0,2.6,15.2,3.7,4.6,22.1,6.5,6.6,3.7,11.0,11.1,6.2,10.0,17.0,5.8,2.3,14.9,10.9,1.5,8.0,1.6,3.8,6.6,5.6,7.8,9.8,9.7,5.9,2.7,6.2,22.0,7.5,9.2,2.3,4.9,2.0,19.9,14.2,0.9,18.7,1.3,13.3
